Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Puntaje Ponderado,Puntaje NEM,Puntaje Ranking,Puntaje Lenguaje,Puntaje Matemática M1,Puntaje Matemática M2,Certamen 1,Abstracción,Descomposición,Patrones,Algoritmos,Aprobación C1,Nota Final,Aprobación Asignatura
0:18:00,0,0,0,0,0,0,,0,0,0,0,0,11,0,0.00,631.7,708,729,596,631,483,18,0,0,0,0,0,12,0
0:43:00,0,0,0,0,0,0,,0,,0,0,0,10,0,0.00,566.8,694,694,606,507,428,15,0,0,0,0,0,14,0
0:29:00,0,,0,0,0,0,,,,,,,5,0,0.00,552,519,526,714,539,430,1,0,0,0,0,0,1,0
0:26:00,,,,,,,,,,,,,0,0,0.00,780.9,886,915,498,892,609,4,0,0,0,0,0,2,0
0:07:00,,,,,,,,,,,,,0,0,0.00,723.4,771,775,745,743,596,,0,0,0,0,0,81,1
1:02:00,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.00,,,,,,,,0,0,0,16.66666667,0,0,0
0:29:00,0,0,0,0,0,0,0,,,,,,7,0,0.00,543.6,630,634,551,539,332,2,0,0,0,16.66666667,0,1,0
0:43:00,0,0,0,0,0,,,,,,,,5,0,0.00,0,914,920,692,588,369,,0,0,0,16.66666667,0,73,1
0:43:00,0,,0,0,0,,,,,,,,4,0,0.00,774.3,879,902,912,769,444,,0,0,0,16.66666667,0,77,1
0:28:00,0,0,0,,,,,,,,,,3,0,0.00,563.2,551,553,714,601,403,8,0,0,0,16.66666667,0,15,0
0:29:00,0,0,0,,,,,,,,,,3,0,0.00,568.5,736,811,596,452,385,1,0,0,0,16.66666667,0,1,0
0:03:00,0,0,0,0,0,0,0,0,0,1,0,0,12,1,8.33,782.6,664,663,872,971,609,5,0,33.33333333,0,0,0,3,0
0:38:00,0,0,1,0,0,0,0,0,0,0,0,0,12,1,8.33,682.4,879,898,633,619,444,24,0,0,0,33.33333333,0,12,0
0:45:00,0,0,0,0,0,0,1,0,0,0,0,0,12,1,8.33,610.2,779,779,714,499,413,5,0,0,33.33333333,0,0,16,0
0:36:00,0,0,1,0,0,0,,,,,,,6,1,8.33,713.6,742,742,633,830,428,,0,0,0,33.33333333,0,11,0
0:43:00,0,0,0,0,0,1,,,,,,,6,1,8.33,699.4,886,982,891,539,413,,0,0,33.33333333,0,0,64,1
0:33:00,0,0,,0,1,0,,,,,,,5,1,8.33,705.3,886,912,872,491,385,15,33.33333333,0,0,0,0,10,0
0:28:00,0,0,1,0,,,,,,,,,4,1,8.33,619.8,664,671,714,659,351,1,0,0,0,33.33333333,0,1,0
0:42:00,0,0,1,0,,,,,,,,,4,1,8.33,719.9,851,853,745,728,351,,0,0,0,33.33333333,0,36,0
0:43:00,0,0,1,,,,,,,,,,3,1,8.33,633.3,715,815,649,601,385,,0,0,0,33.33333333,0,21,0
0:20:00,0,1,,,,,,,,,,,2,1,8.33,589.7,551,551,692,681,413,15,0,0,0,33.33333333,0,28,0
0:28:00,0,1,,,,,,,,,,,2,1,8.33,558.2,586,586,673,526,418,0,0,0,0,33.33333333,0,0,0
0:39:00,0,1,,,,,,,,,,,2,1,8.33,674.9,808,934,701,579,413,,0,0,0,33.33333333,0,4,0
0:01:00,1,0,,,,,,,,,,,2,1,8.33,721.2,907,996,745,609,428,40,33.33333333,0,0,0,0,60,1
0:31:00,0,0,0,0,0,0,0,0,0,1,0,0,12,1,8.33,642.3,823,854,483,601,428,25,0,33.33333333,0,16.66666667,0,28,0
0:32:00,1,0,0,0,0,0,0,0,0,0,0,0,12,1,8.33,672.9,895,940,649,554,413,,33.33333333,0,0,16.66666667,0,75,1
0:41:00,0,0,0,0,0,0,1,0,0,0,0,0,12,1,8.33,628,727,794,582,619,390,10,0,0,33.33333333,16.66666667,0,5,0
0:43:00,0,0,0,0,0,0,0,0,0,0,1,0,12,1,8.33,714.8,937,993,775,588,369,11,33.33333333,0,0,16.66666667,0,10,0
0:27:00,0,0,0,0,1,0,,0,0,0,0,0,11,1,8.33,642.9,694,696,816,588,428,1,33.33333333,0,0,16.66666667,0,1,0
0:18:00,0,0,0,0,0,0,0,0,1,,0,0,11,1,8.33,830,928,955,697,802,802,58,0,0,33.33333333,16.66666667,1,82,1
0:43:00,0,1,0,0,0,0,0,0,0,,,,9,1,8.33,0,851,897,574,507,399,,0,0,0,50,0,14,0
0:34:00,0,1,0,0,0,0,0,,,,,,7,1,8.33,667.3,757,764,663,609,413,0,0,0,0,50,0,0,0
0:36:00,0,0,0,0,,,,0,1,,0,,7,1,8.33,688.1,865,880,668,571,571,,0,0,33.33333333,16.66666667,0,3,0
0:42:00,1,0,0,0,0,0,,,,,,,6,1,8.33,0,928,967,674,507,351,,33.33333333,0,0,16.66666667,0,34,0
0:28:00,1,0,0,0,0,,,,,,,,5,1,8.33,544.4,637,673,692,452,399,1,33.33333333,0,0,16.66666667,0,6,0
0:43:00,1,0,0,0,,0,,,,,,,5,1,8.33,694.7,922,944,649,601,428,,33.33333333,0,0,16.66666667,0,82,1
0:28:00,1,0,0,0,,,,,,,,,4,1,8.33,552.1,672,676,564,491,418,2,33.33333333,0,0,16.66666667,0,1,0
