Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Certamen 1
0:29:00,0,0,0,0,0,0,1,0,0,0,0,0,12,1,8.33,
0:33:00,0,0,0,0,0,0,0,0,1,0,0,0,12,1,8.33,49
0:35:00,0,0,0,0,,,0,0,1,0,0,0,10,1,8.33,63
0:39:00,0,0,1,0,0,0,0,0,0,0,0,0,12,1,8.33,2
0:40:00,0,0,0,0,0,0,1,0,0,0,0,0,12,1,8.33,4
0:43:00,0,1,0,0,0,0,0,0,0,0,0,0,12,1,8.33,27
0:44:00,0,1,0,,,0,,,,,,,4,1,8.33,65
51:54:00,0,0,0,0,0,0,,0,0,,0,1,10,1,8.33,4
0:21:00,,0,,,0,0,0,0,,1,1,0,8,2,16.67,
0:23:00,0,0,0,0,0,0,1,0,,1,0,0,11,2,16.67,12
0:24:00,0,0,0,0,0,0,0,1,0,0,1,0,12,2,16.67,42
0:24:00,0,0,1,0,0,1,0,0,0,0,0,0,12,2,16.67,
0:24:00,0,0,0,0,0,0,1,0,0,1,0,0,12,2,16.67,0
0:27:00,0,0,1,0,0,0,0,0,0,0,1,0,12,2,16.67,3
0:28:00,0,0,0,0,0,0,1,1,0,0,0,0,12,2,16.67,22
0:28:00,0,0,1,0,0,0,1,0,0,0,0,0,12,2,16.67,
0:30:00,0,0,0,0,0,0,1,0,0,1,0,0,12,2,16.67,2
0:30:00,0,0,0,0,0,0,0,1,0,0,0,1,12,2,16.67,2
0:30:00,0,1,0,0,0,0,0,0,1,0,0,0,12,2,16.67,27
0:35:00,0,0,0,0,1,0,0,0,0,1,0,0,12,2,16.67,59
0:36:00,0,0,0,0,0,0,1,0,0,1,0,0,12,2,16.67,54
0:36:00,1,0,0,0,0,0,1,0,0,0,0,0,12,2,16.67,
0:37:00,0,0,0,0,0,0,0,0,1,1,0,0,12,2,16.67,
0:37:00,1,0,0,0,0,0,0,0,0,0,1,0,12,2,16.67,33
0:38:00,0,0,0,0,1,0,1,0,0,0,0,0,12,2,16.67,26
0:38:00,1,0,0,0,0,0,1,0,,0,0,0,11,2,16.67,20
0:40:00,1,0,1,0,0,0,,,,,,,6,2,16.67,10
0:41:00,0,0,0,0,0,0,1,0,0,1,0,0,12,2,16.67,25
0:44:00,0,0,0,0,0,0,1,1,0,0,0,0,12,2,16.67,90
0:44:00,0,0,0,0,0,0,1,1,0,0,0,0,12,2,16.67,0
0:46:00,0,0,0,0,0,0,0,1,0,0,1,0,12,2,16.67,27
0:47:00,0,0,0,1,0,0,1,0,0,0,0,0,12,2,16.67,19
0:49:00,0,0,0,0,0,0,1,1,0,0,0,0,12,2,16.67,17
0:24:00,0,0,0,0,1,0,1,0,0,1,0,0,12,3,25,33
0:24:00,0,0,0,0,0,0,0,1,0,1,1,0,12,3,25,43
0:25:00,1,0,1,0,0,0,0,0,0,0,1,0,12,3,25,47
0:29:00,1,0,0,0,0,0,1,0,0,1,0,0,12,3,25,85
0:31:00,0,0,1,,0,0,1,0,0,0,1,0,11,3,25,4
0:31:00,0,1,0,0,1,1,0,0,0,0,0,0,12,3,25,
0:31:00,1,0,1,0,0,0,1,0,0,0,0,0,12,3,25,
0:32:00,0,0,0,0,0,1,0,0,0,1,0,1,12,3,25,82
0:32:00,0,0,0,1,0,0,0,0,0,1,1,0,12,3,25,2
0:33:00,0,0,0,0,0,0,1,1,0,1,0,0,12,3,25,
0:33:00,0,0,0,0,1,0,,1,0,0,0,1,11,3,25,9
0:34:00,1,0,0,0,0,1,0,0,0,0,1,0,12,3,25,83
0:34:00,0,0,0,0,0,0,1,1,0,1,0,0,12,3,25,76
0:35:00,0,0,0,,0,0,,1,,1,0,1,9,3,25,7
0:35:00,0,1,0,0,0,0,1,0,0,1,0,0,12,3,25,0
0:35:00,0,0,0,0,0,0,1,0,0,1,1,0,12,3,25,17
0:35:00,0,0,1,0,0,0,0,1,0,1,0,0,12,3,25,57
0:35:00,1,0,1,0,0,0,0,0,1,0,0,0,12,3,25,0
0:36:00,0,0,0,0,0,0,1,0,0,1,1,0,12,3,25,2
0:37:00,0,0,0,0,0,0,1,1,0,0,0,1,12,3,25,2
0:37:00,1,0,0,0,1,0,1,0,0,0,0,0,12,3,25,57
0:37:00,0,0,0,0,0,0,0,0,0,1,1,1,12,3,25,21
0:37:00,0,0,1,0,0,0,0,0,1,0,1,0,12,3,25,19
0:37:00,1,0,1,0,0,0,0,0,0,1,0,0,12,3,25,100
0:38:00,0,0,1,0,1,0,0,0,1,0,0,0,12,3,25,12
0:38:00,0,0,1,0,1,0,0,0,0,1,0,0,12,3,25,48
0:38:00,0,0,1,0,0,0,1,0,0,1,0,0,12,3,25,20
0:39:00,0,0,0,0,0,1,1,0,1,0,0,0,12,3,25,4
0:39:00,0,1,1,0,0,0,0,1,0,0,0,0,12,3,25,12
0:40:00,1,1,0,0,0,0,0,0,0,1,0,0,12,3,25,8
0:41:00,0,0,1,,0,0,0,1,0,0,0,1,11,3,25,
0:41:00,1,0,0,0,0,0,1,0,0,0,1,0,12,3,25,2
0:41:00,0,0,0,0,1,0,1,0,0,0,1,0,12,3,25,71
0:42:00,0,0,0,0,0,0,1,0,,1,1,0,11,3,25,35
0:42:00,1,0,0,0,0,0,1,0,,0,1,0,11,3,25,54
0:44:00,0,0,0,0,0,1,0,1,0,0,1,0,12,3,25,
0:46:00,1,1,1,0,0,0,0,0,0,0,0,0,12,3,25,
0:47:00,1,1,0,,,0,0,0,1,,,,7,3,25,41
0:47:00,0,1,0,0,1,0,0,0,0,1,0,0,12,3,25,25
0:48:00,0,0,1,0,1,1,0,0,0,0,0,0,12,3,25,25
0:48:00,0,0,0,0,1,0,0,0,1,0,1,0,12,3,25,20
0:48:00,0,0,0,0,0,0,0,1,1,0,1,0,12,3,25,100
0:51:00,1,0,0,0,0,0,1,1,0,0,0,0,12,3,25,93
0:52:00,0,0,0,0,0,1,1,1,0,0,0,0,12,3,25,0
0:54:00,0,1,0,0,0,0,1,1,0,0,0,0,12,3,25,73
9:42:00,0,0,1,1,1,,,,,,,,5,3,25,25
51:41:00,1,1,0,,1,,,,,,,,4,3,25,47
51:53:00,1,,1,1,,0,0,,,,,,5,3,25,44
0:18:00,0,0,0,0,0,1,1,1,0,0,1,0,12,4,33.33,100
0:20:00,1,0,0,1,0,1,0,0,0,1,0,0,12,4,33.33,74
0:21:00,0,0,0,0,1,0,0,1,1,1,0,0,12,4,33.33,73
0:22:00,0,0,0,0,0,1,0,1,1,1,0,0,12,4,33.33,32
0:23:00,0,0,0,0,0,0,0,1,0,1,1,1,12,4,33.33,7
0:23:00,0,0,0,0,0,0,1,1,1,0,1,0,12,4,33.33,20
0:25:00,0,1,0,0,0,0,1,0,1,1,0,0,12,4,33.33,37
0:26:00,1,1,0,0,1,0,0,0,1,0,0,0,12,4,33.33,74
0:29:00,1,0,1,0,1,0,1,0,0,0,0,0,12,4,33.33,21
0:29:00,1,0,0,0,0,0,1,0,0,1,0,1,12,4,33.33,71
0:30:00,0,0,0,0,1,0,1,1,0,0,1,0,12,4,33.33,44
0:31:00,1,0,0,0,0,0,1,1,0,0,1,0,12,4,33.33,52
0:31:00,0,0,0,0,0,1,0,1,1,0,1,0,12,4,33.33,
0:32:00,1,1,0,0,0,0,1,0,1,0,0,0,12,4,33.33,25
0:32:00,0,1,1,0,1,0,1,0,0,0,0,0,12,4,33.33,9
0:32:00,0,0,0,0,1,0,0,1,0,1,1,0,12,4,33.33,24
0:32:00,1,0,0,0,0,0,1,1,1,0,0,0,12,4,33.33,
0:33:00,1,0,0,0,0,0,1,1,0,1,0,0,12,4,33.33,14
0:33:00,0,1,0,0,1,0,1,0,0,0,1,0,12,4,33.33,67
0:33:00,0,1,0,0,0,0,1,0,1,1,0,0,12,4,33.33,
0:34:00,1,0,1,0,0,0,1,0,0,0,1,0,12,4,33.33,
0:34:00,1,0,0,0,0,0,1,0,1,1,0,0,12,4,33.33,57
0:35:00,0,0,0,1,0,0,1,1,0,0,1,0,12,4,33.33,8
0:35:00,0,0,0,0,1,0,0,0,0,1,1,1,12,4,33.33,17
0:35:00,0,0,1,0,0,0,1,1,0,1,0,0,12,4,33.33,24
0:36:00,1,0,0,1,0,0,0,0,1,0,1,0,12,4,33.33,50
0:36:00,0,0,1,0,1,0,1,0,0,1,0,0,12,4,33.33,80
0:36:00,0,0,0,0,0,0,1,1,1,0,1,0,12,4,33.33,100
0:36:00,0,0,0,0,0,1,1,0,1,1,0,0,12,4,33.33,92
0:37:00,1,0,0,0,0,0,1,0,0,1,1,0,12,4,33.33,25
